text,label,notes
Our best player low-key,hot_take,
Can we just have more of Zlatan insulting Lalas,reaction,
LeBron is the Goat of basketball it would be a better analogy given both are still active breaking pretty much every record,hot_take,
"While I agree, the team as a whole was diabolical.",hot_take,
Did we miss a memo saying the European favorites would be trolling a bit in their first match?,reaction,
We can literally access the pass maps after the game. This just sounds like a player being bitter that they’ve gotten found out to be a side pass merchant.,analysis,
It's a 0-0 win for Cape Verde,reaction,
Ecuador recorded 15 shots straight at the keeper,reaction,
"That applies to a huge chunk of this sub who can’t even kick a ball, or never played even at a sunday league or club. Who belive they are pros and think certain actions are a piece of cake of they would have done better over pros.",hot_take,
"He’s definitely one of the greatest players ever but nobody to compare? He’s not so far beyond Pelé, Maradona, Maldini, Shomurodov etc. that it’s impossible",hot_take,
"Shoutout to cabo verde, it was defensive masterclass from them",reaction,
This is especially true during international tournaments when large swaths of fans who don’t even watch football tune in and inevitably start expressing their dissatisfaction with certain players in their national teams.,hot_take,
Gudjohnsen was such a baller for both Chelsea and a great utility player for barça a very adaptable player,hot_take,
I’ve never seen nobody posting this type of statements when it’s made about Ronaldo this sub is bias?,hot_take,
World Cup of legendary keeper performances,reaction,
This World Cup might give the European and South American nations a run for their money,hot_take,
Fuck me i feel old. Eidur was one of the best players I've seen in the flesh. He absolutely obliterated us (northern Ireland) in a game years ago and he was honestly so good,reaction,
Might be closer to Gretzky in that nobody else is even close. Lebron is closer to Jordan’s level than anyone is to Messi’s.,analysis,
"Finally, We did it 😁",reaction,
"Tbf, I also fall for it when he plays for Barca. I feel that midfielder are really difficult to tell when they’re having a good match when they aren’t doing Messi/De Bruyne level passes.",analysis,
"It sucks but depth wise Germany has a lot of decent options at CB, what will hurt the most is what Schlotterbeck can offer offensively.",analysis,
That's the Wilton Pereira Sampaio effect gentlemen,reaction,
"We were shit today. That's the one decent half chance we created the whole game. Today is not on Ronaldo. It's cool and trendy to hate on him but today every Portuguese football player was asleep. Slow on the ball. No movement off it. Lethargic in defense. We lacked any sort of competitive edge. We had no urgency for anything. Players were isolated when in possession, especially on the right side, until Conceição came on. Pedro Neto refused to take anyone on, kept passing back, Nuno Mendes looked like he couldn't care less, Bruno and Vitinha were doing little one twos with no one around them. Just embarrassing.",analysis,
Spain didn't play well? Yes.,hot_take,
Feel the need to say. Belgium have been a disgrace the last 10 years. Golden generation and can’t do anything. Now can’t even get a win against average teams this World Cup. Hope they go out in groups,hot_take,
"Kinda amusing to me that people are this surprised over how good he still is. His playing style makes it so that, he can play more or less without any movement, meaning his legs could be more or less gone and he would still be a passing-god",analysis,
2.48 xGoT prevented per FotMob. GOATED performance by Room,analysis,
That's my former MLS DPOY STEVEN MOREIRA,reaction,
"I’d say it was one chance. For all we know, Ronaldo didn’t expect Bruno to be right behind him",analysis,
Yeah no one is topping this lol,reaction,
So happy for them! Well deserved تحيا مصر,reaction,
I think Messi’s has a better career and achievements than Ronaldo but there were definitely multiple years over the last 20 that he edged Messi. To say he was undisputed over last 20 years is kinda bias.,analysis,
De La Fuente is a criminal.,hot_take,
Few people ever play organized soccer. Very few have ever played at a competitive level. It's a totally different game. Just sit back and enjoy and let the pros do their think. Trust me they know what they are doing.,hot_take,
Historically accurate. As Leif Ericson explored the new world,reaction,
Frankie does not play through balls,hot_take,
I wonder if certain man on this forum will realise he's talking about them....,reaction,
After Messi yesterday there was never a chance in hell Ronaldo would be even the slightest bit unselfish,hot_take,
We really expanded the field so that we could watch small nations sit back and defend?,hot_take,
At least we made it out of groups this time. Slow and steady rising...,reaction,
"Calling the World Cup ""finals"" is so weird",reaction,
Man I hate the expansion of the World Cup to 48 teams. Having countries like Spain really dilutes the quality of the football.,hot_take,
"I got to be a mascot for Barcelona when they played a friendly in the US around that time. Gudjohnsen was the player that I got paired up with and he was kind enough to sign my jersey in the tunnel. I'm pretty sure he scored that game, too.",reaction,
Ronaldo can be dogshit a lot of the time but the team was just awful. Singling him out when the midfield was beyond clueless is strange.,analysis,
"Best Player for us so far, and now we will have to start Rüdiger which means every duel is a coin flop between world class and UFC fight",hot_take,
This is what makes the World Cup so amazing,reaction,
Lukaku played like a pensioner,hot_take,
We really could have been the only team to go a century without a world cup win.,reaction,
If he was the Michael Jordan of football there would be someone to compare him with… but I digress,hot_take,
Waiting for Instagram followers post tomorrow,reaction,
Getting mad at a striker for calling for it in the box when the team is just trying to pass sideways and backwards otherwise is pretty silly,analysis,
I love the Shamrock Rovers Linkedin story. Absolutely glorious.,reaction,
"That's a huge praise to MJ, the NBA has a much disputed GOAT conversation.",hot_take,
The way you judge FDJ’s playing style can tell a lot about your ball knowledge,hot_take,
"I'll get downvoted, but Lebron is a closer comparison to Messi cause of his own crazy longevity.",hot_take,
"Why is everyone scared to call out that midfield? They are taking that one chance, if anybody has played even a single game of football then they know the cut back that Ronaldo got the reflexes to either leave for Bruno or attempt it needs to be insane, the whole midfield shit the bed which is apparently “The best in this world cup”",analysis,
Great player but his career is stained by Negreira and FIFA.,hot_take,
MJ vs Lebron is a conversation. Messi vs CR7 is not,hot_take,
"I love stories like this so much. Teams that show up as the underdogs and hold back the best of the best. I mean to be fair, they're also the best of the best, that's why they're there. But you get my point!",reaction,
It would take a truly spectacular level of shit football to beat this match out for worst of the tournament.,hot_take,
"De Jong actually plays a lot of progressive passes though. If someone actually thinks he’s not a good player, you should probably disregard their footballing input.",analysis,
''He's the Michael Jordan of football'',reaction,
"This is happening too frequently across the tournament to just be bad showings. I don't know if it's the breaks, the heat, the ball or a little bit of everything but defensive teams breaking saves records every match day is not normal nor positive for the game.",analysis,
"Insane strike, but you could feel a US goal was coming",reaction,
"Invaders do not understand the desert. They do not understand how it gives life, and how it kills. So they die, and we grow stronger. The dead, now, the dead cannot pass on their newfound wisdom...so invaders keep coming, keep trying to take our lands and our wealth. But then, wealth flows through this land. And if our people have one thing, it is the love of wealth. It is sweeter than water, it is more powerful than the sword, for any sword can be turned aside with a gold coin. Gold will buy a thousand warriors...and a thousand warriors, why, they are the start of an empire!",reaction,
"As an Asian, I just know the whole day he'd been called ey chino, chino",reaction,
First someone fact check this. Tomorrow we'll find out this is another fabricated bs,reaction,
"This applies to many of these so called ""analysts"". Especially in my country of the Netherlands.",hot_take,
Much more of a compliment for Micheal jordan imo,hot_take,
I think he’s eclipsed MJ as a comparison. MJs wizard years were abysmal and Messi just keeps going,hot_take,
“messi’s teammate says he is the best” more news at eleven,reaction,
Too bad more players don’t have the confidence to go for the full volley like this. It’s a lost art.,hot_take,
He for a fact provides less forward passes mainly because he plays the safest pass or plays the cleanest one,analysis,
WHAT A RESULT CAPE VERDE CONGRATS,reaction,
Had the easiest game of his life against Sweden and he is already lecturing?,hot_take,
Almost disrespectful to Messi to call him the of football.,hot_take,
Stats that sound fake 😭,reaction,
"He's absolutely right, and the biggest problem is that if you want to learn, there are hardly any resources available since most of the content surrounding this sport consists of drunken brawls, sensationalist articles and gossip columnists.",analysis,
It goes to show you how far fitness can take a team. They lacked the quality to go on the attack and that lack of skill was evident but they ran for 90 minutes parking the bus and still seems like the more fresh side compared to the European counterpart. Defensive masterclass.,analysis,
I hate these kind of stats because its just disingenuous. Yeah it was an OG but that goal doesnt happen if not for Lukaku.,analysis,
God I love the Mexican jersey. The design is awesome,reaction,
This reminds me of that time a player told LeBron that he played against the dad in LeBron’s first ever NBA game,reaction,
"Lol he's not gonna change now, bench CR and they'll play as a team",hot_take,
"What the armchair managers don’t understand is that while Frenkie does a lot of ‘sideways’ passing etc, he also always is under the press of an opponent; and he never fumbles.",analysis,
It's giving black kids going into a white kid's home 😂😂😂😂😂😂😂,reaction,
"remind me of "" ankara messi ankara messi ankara messi "" and then his father put both hands on his head.",reaction,
Why do sports subreddits suck at using ellipses or even brackets to provide more accurate and useful quotes lol,reaction,
Least athletic roster at the World Cup.,hot_take,
should've recreated the photo for the whimsy,reaction,
Iirc didn’t Korea beat a team the last World Cup to allow Mexico to advance?,reaction,
"He's right. I'll use Wirtz as an example and just to say I don't like Liverpool so this isn't a fan view. Wirtz has had a lot of stick this season because his goals and assists stats are low, people are obsessed with stats and measure performance on it, however I watch a lot of football, any team I can if its on TV and like to look at what players are doing and Wirtz will often make the pass before the assist or in the build up and its often a pass others aren't capable of making but without it they couldn't break through a team, he gets no assist or credit for the goal and people say he's bad but those people are totally missing his contribution to the goal. Carrick was often underrated at United for the same reasons as another example. Fans don't pay enough attention to the game, they see the goals and assists and base performance off that and not what players are actually doing.",analysis,
Cue the “golden generation is over” comments,reaction,
"Ronaldo hasn't scored a non-penalty goal in a major competition since June 19, 2021.",hot_take,
"Well, it'd be weird if a mexican Duck wore an USA jersey....",reaction,
"Our first world cup win is closer to cleopatra on the timeline than the pyramids being built to her timeline, and that’s by roughly 470 years too",reaction,
The problem is he just tries to walk it in.,hot_take,
Also first time they have scored two goals in a World Cup match since their debut game against Hungary in 1934 when they lost 4-2.,analysis,
"gnabry, karl, now schlotterbeck ffs 😭",reaction,
"He probably works better as a supersub at this point in his career, but he was the least of their problems today. They generated absolutely nothing.",analysis,
Thierry Henry reacting to Zatlan vibes,reaction,
None of the Belgian players seem capable of shooting without first settling the ball. It gave Iran's defense time to get in front. So many blocks and deflections from that defense.,analysis,
if it were Brazil going 0x0 against Cabo Verde we would not hear the end of it...,hot_take,
"This is the kind of shit that makes me love the world cup. fuck the politics, fuck fifa, fuck the corruption...but goddddamn it's so nice to have a football party with the whole world every 4 years and see pure joy like this. If you don't like watching this video you're either spanish or dead inside",reaction,
Man the World Cup is the best,reaction,
"Making HISTORYYY, as a portuguese with a lot of love with that country im super happy watching this",reaction,
"MJ was in a age there were few entertainment available, I think some people never experienced that don't understand how big Michael Jordan was.",hot_take,
Reddit is so lazy. People are more occupied by that one sentence where he compares them versus the interesting bits about Xavi’s experience with him.,hot_take,
Egypt top of the group as we all expected lol. This group is hilarious,reaction,
He's like MJ at the Wizards. Flickers of genius carried by teammates.,hot_take,
I needed joy like this guys. This tournament is digging up such hard and complex emotions for me. Of course it's the Mexicans that make me smile. Gracias.,reaction,
Spain's finishing is SHOCKING,hot_take,
Okay sideways Frenkie,reaction,
That actually got a chuckle out of me.,reaction,
Everytime they got remotely close to the box he lifted his arm and ran towards goal even if he was in a bad position.,analysis,
That's the most wholesome thing I've seen today,reaction,
Spain shouldn't be so hard on themselves. Cape Verde has never given up a single goal in the World Cup before.,analysis,
Yesterday I was watching the Hiddink after the game on Dutch television. He was praising De Jong's play and passing in particular. They could only find 1 example where he didn't play the ball back or sideways. They were saying Summerville's assist was a result of a pass of De Jong even though it was a simple pass and there was another pass in between.,analysis,
One day all mídia will be 3d or on whatever different format and Messi will be disrespectedly forgotten just like Pelé.,hot_take,
Anyone got the stats on this?,reaction,
So many people in these comments who so obviously don’t have the faintest understanding of football whatsoever,hot_take,
"The average soccer fans understanding of modern tactics begins and ends with ""they need to run more"" and most of them struggle to even grasp basic rules (as highlighted by the discussions on this sub after every controversial ref call)",hot_take,
And he's correct. Just look at yesterday's dumb Gyokeres takes because he didn't score,hot_take,
"And still, so many bad challenges that went unpunished. Seems more like a shift in the rules.",hot_take,
I adore the Mexicans. During the friendly with Australia a while ago one of ours was in the crowd full of them and they all just started chanting Aussie Aussie Aussie. It was so cool,reaction,
"Stats-wise - sure, he can be compared to Jordan - of football (best ever). Personality wise, nope. Messi is more timid and shy. C. Ronaldo is close to Jordan's mentality, the hunger, the willpower. Jordan was just more mature, more a leader and ice in his veins.",analysis,
South Africa are the goat of WC memes,reaction,
"The save on De Cuyper was obviously amazing but it was such a shit finish, awful height and so close",analysis,
"Well Messi also kind of ghosted in the 2010 WC, something MJ never did. But who’s remembering?",hot_take,
"""Are you not entertained??""",reaction,
Turkey: we can go band for band,reaction,
Most people that watch NT tournaments never watch football inbetween them. They are there for the trend and some kind of patriotic entertainment.,hot_take,
It's a shame the whole tournament couldn't have been in Mexico.,reaction,
"I always find it funny when fans complain how how awful their forwards, midfield or defense is and treat each as isolated groups where the rest of the team have no impact on things.",analysis,
"As a Spaniard, hats off to Cape Verde! They got us good! That's how you shutdown a team who relies with short passes. This should be a lesson for Spain to not take any 'smaller' teams lightly. Vozinha MOTM deserved!",analysis,
Portugal as a whole just weren't good enough.,hot_take,
"vuzinha in tears as he should be, he held the fucking fort",reaction,
Unbelievable that the first 0-0 of the World Cup is Spain vs Cape Verde.,reaction,
Columbus Crew legend,reaction,
School of stormtroopers strikes again,reaction,
Quick! How many birds do they have!? I need the numbers!,reaction,
"So one clip on the entire match and its framed as sorry team needs to score not you. It's a joke. The entire team has an issue when they dont create a single big chance with that midfield - bruno created more chances in epl with a much worse midfield. When Portugal lost to Morocco in 22, Ronaldo was benched at the start, Ramos started and played 51 mins and had 1 shot, 0 on target. And again portugal created nothing. This time the midfield is even better and could not do anything. This is the same Ramos portugal still have. You guys act like he benched Harry Kane. its a freaking joke - all the while ignoring ronaldo won the nations league last year as the top scorer.",analysis,
"He's got a point, essentially. He's very good and people who don't see that are either ignorant or biased.",hot_take,
"Waiting for his gameplay to help his team since 2020,",hot_take,
In terms of playstyle it's got to be LeBron. Generational scorer that's also somehow one of the best passers of all time. Ofc it's not an exact 1 to 1.,analysis,
Iran parking the bus up a man is a disgrace.,hot_take,
"Tale as old as time. Before the tournament: They are dog shit, eliminated in the group stage, how can we ever beat the top nations in the world? De Jong side pass merchant, Van Dijk no 'leiderschap', Koeman tactical moron.",reaction,
Weird how an Argentinean and Japanese ref team only booked the black players.... Hmmmmmmmmm,hot_take,
"If you're picking on out of all the Dutch players, you got your priorities very backwards",hot_take,
"Build a statue for the keeper, he played his heart out",reaction,
Imo Messi is more clearly the best footballer compared to Jordan being the best basketball player,hot_take,
Best performance from a Miami player in the tournament.,hot_take,
Really needed a pacey winger that can cut inside and hit a banger.,hot_take,
And if the officiating was to a normal prem standard we would probably have seen 8 more. Been a wild ride,hot_take,
Said this in the post match thread but perhaps it’s more appropriate here:,reaction,
Love the flair from the ref with the final whistle. Bit of showmanship,reaction,
Messi is more clear cut the goat than Michael Jordan to be honest. There are so many more soccer players than basketball.. it is super hard to be unanimous in that,hot_take,
"It’s games like this that make the World Cup special. Spain, on paper, has the deeper talent pool and more experience, but Cabo Verde showed that if you stick to the fundamentals, that you can keep up even with the best teams in the world.",analysis,
"Damn, a century of wait for a first win. The fact that Egypt was the last major North African side after Tunisia, Algeria and Morocco to do so is insane.",analysis,
"I think he’s great at ball retention but i think he also takes it too far sometimes. He still needs to improve his passing range, his skill is important and i dont see why people focus on his negatives instead of accepting who he is. Martin odegaard has the same issues a bit and arsenal still play around him",analysis,
I‘M IN LOVE WITH VOZINHA,reaction,
My club found his next Alaba🥀,reaction,
"Shots fired at Barca fans. I don't know why, but a lot of Barca fans have an irrational hatred towards FdJ because he doesn't get goals or assists.",hot_take,
idk why but that feels disrespectful to messi,reaction,
Ronaldo tarnishing his legacy by trying to stat pad.,hot_take,
LeBron clears Jordan tho,hot_take,
Belgium struggles with Middle Eastern countries it seems,hot_take,
Egypt are surely the favorites to win the group now,hot_take,
He has been fantastic so far together with Gravenberch. Just because we don’t have a Sneijder type player anymore some of our pundits blame these two for not being creative enough.,analysis,
"I don't know why people are making this a man vs woman thing, Schick is like this all the time",hot_take,
Shoulda saved it for the World Cup,reaction,
"The gap between Jordan and lebron regardless of who you have as a goat is way smaller than between Messi and whoever you have 2nd. Ronaldo, Maradona, pele",analysis,
Their goalkeeper can always say he kept a clean sheet vs Spain. You can see the relief on his face when he could've been preparing for a long evening picking the ball out from the net. Amazing!,reaction,
"Messi plays much more like LeBron than Jordan, at least in terms of offensive completeness. Also has the longevity of LeBron moreso than Jordan I’d say",analysis,
"Spain coach with the disrespectful lineup throwing the game. Honestly hope they get knocked out in the group, not that it will happen but I can hope.",hot_take,
Full volley oh my GOD,reaction,
He’s not wrong. Why would any professional footballer give any merit to the opinions of those who haven’t achieved a fraction of what they have in the sport.,hot_take,
Absolute piss missile,reaction,
"If they all shoot like Fernández-Pardo, it's not a surprise. They have yet to find the ball",hot_take,
"Messi is way bigger than MJ when it comes to talent in their sport. Soccer has a longer history and more people have played it than basketball. (and size is not a limitation to greatness the way it is in bball) Furthermore, I don't think is close anymore as to who is the goat. Messi! Messi! Messi!",hot_take,
"ESPN posted that Messi has more goals at the World Cup after 35 than Ronaldo, Kane, Henry, Rivaldo, Maradona, and Neymar have in their career.",reaction,
I despise this greatest of all time talk. It's so fake and so uninformed.,hot_take,
Yes. I think this is very clear and most people agree. Even journalists that whole job should be watching and understanding the game just don't pay attention.,hot_take,
"I kinda don't blame him in a way. Everyone knows what Ronaldo is gonna do, this is on the manager for playing him and the FA for allowing the manager to do so.",analysis,
was one of my favorite player from the . He was a smart player and I'd argue is very underrated.,hot_take,
"Messi is still great, but he was being serviced by other world class players against Algeria. Probably more difficult to produce for Miami in MLS.",analysis,
"is a shithouser even in Caf games, like a regen . He is unusually well behaved in this WC.",hot_take,
"If I understood enough, I would be at the sidelines.",reaction,
Why does it keep getting removed,reaction,
"Messi is the best both talent and statiscally wise, Jordan only talentwise so it's more of a compliment for Jordan I guess.",hot_take,
"I knew Portugal would suck. The coach is bad. They have players that play almost the same. Bruno, Silva, ronaldo, Leah all want to play behind the center striker. Add Felix to that list. He should be nowhere near this team.",analysis,
I'm so happy and proud..... what a diffrence of peformance compared to the last few years,reaction,
"Off topic Mokoena was incredible that game, def deserves to play in the top 5 european leagues, wonder why he doesn’t?",hot_take,
"Cheers Cape Verde, now Spain will put all its wrath on us",reaction,
Maybe the other clowns should do something themselves as well for once.,hot_take,
They balled out Spain was lethargic. Cape Verde was strong energetic,hot_take,
Spain on fraud watch,hot_take,
"Gonna be tough to top this team photo, NGL.",reaction,
Lol comparing him to like the 3rd best basketball player of all time to show how good messi is,hot_take,
Absolute fuckin rocket,reaction,
Well 4 of them were from 2 games lmao,reaction,
